Type,Frame,Angle
LinearQuaternion,0,-3.05774
LinearQuaternion,1,-3.03466
LinearQuaternion,2,-3.01157
LinearQuaternion,3,-2.98846
LinearQuaternion,4,-2.96534
LinearQuaternion,5,-2.94221
LinearQuaternion,6,-2.91906
LinearQuaternion,7,-2.8959
LinearQuaternion,8,-2.87273
LinearQuaternion,9,-2.84955
LinearQuaternion,10,-2.82635
LinearQuaternion,11,-2.80315
LinearQuaternion,12,-2.77992
LinearQuaternion,13,-2.75669
LinearQuaternion,14,-2.73344
LinearQuaternion,15,-2.71018
LinearQuaternion,16,-2.68691
LinearQuaternion,17,-2.66362
LinearQuaternion,18,-2.64032
LinearQuaternion,19,-2.61701
LinearQuaternion,20,-2.59369
LinearQuaternion,21,-2.57035
LinearQuaternion,22,-2.54213
LinearQuaternion,23,-2.51389
LinearQuaternion,24,-2.48565
LinearQuaternion,25,-2.45739
LinearQuaternion,26,-2.42913
LinearQuaternion,27,-2.40086
LinearQuaternion,28,-2.37257
LinearQuaternion,29,-2.34428
LinearQuaternion,30,-2.31597
LinearQuaternion,31,-2.28766
LinearQuaternion,32,-2.25934
LinearQuaternion,33,-2.231
LinearQuaternion,34,-2.20266
LinearQuaternion,35,-2.17431
LinearQuaternion,36,-2.14594
LinearQuaternion,37,-2.11757
LinearQuaternion,38,-2.08918
LinearQuaternion,39,-2.06079
LinearQuaternion,40,-2.03239
LinearQuaternion,41,-2.00397
LinearQuaternion,42,-1.97555
LinearQuaternion,43,-2.04451
LinearQuaternion,44,-2.11333
LinearQuaternion,45,-2.18203
LinearQuaternion,46,-2.2506
LinearQuaternion,47,-2.31903
LinearQuaternion,48,-2.38735
LinearQuaternion,49,-2.45554
LinearQuaternion,50,-2.5236
LinearQuaternion,51,-2.59155
LinearQuaternion,52,-2.65937
LinearQuaternion,53,-2.72708
LinearQuaternion,54,-2.79468
LinearQuaternion,55,-2.86215
LinearQuaternion,56,-2.92952
LinearQuaternion,57,-2.99677
LinearQuaternion,58,-3.06392
LinearQuaternion,59,-3.13095
LinearQuaternion,60,-3.19788
LinearQuaternion,61,-3.26471
LinearQuaternion,62,-3.33143
LinearQuaternion,63,-3.39805
LinearQuaternion,64,-3.53516
LinearQuaternion,65,-3.67234
LinearQuaternion,66,-3.80958
LinearQuaternion,67,-3.94689
LinearQuaternion,68,-4.08427
LinearQuaternion,69,-4.22172
LinearQuaternion,70,-4.35924
LinearQuaternion,71,-4.49682
LinearQuaternion,72,-4.63448
LinearQuaternion,73,-4.7722
LinearQuaternion,74,-4.91
LinearQuaternion,75,-5.04786
LinearQuaternion,76,-5.1858
LinearQuaternion,77,-5.32382
LinearQuaternion,78,-5.4619
LinearQuaternion,79,-5.60006
LinearQuaternion,80,-5.73829
LinearQuaternion,81,-5.8766
LinearQuaternion,82,-6.01499
LinearQuaternion,83,-6.15344
LinearQuaternion,84,-6.29198
LinearQuaternion,85,-6.11162
LinearQuaternion,86,-5.93379
LinearQuaternion,87,-5.75847
LinearQuaternion,88,-5.58567
LinearQuaternion,89,-5.41539
LinearQuaternion,90,-5.24763
LinearQuaternion,91,-5.08239
LinearQuaternion,92,-4.91967
LinearQuaternion,93,-4.75946
LinearQuaternion,94,-4.60177
LinearQuaternion,95,-4.4466
LinearQuaternion,96,-4.29396
LinearQuaternion,97,-4.14383
LinearQuaternion,98,-3.99623
LinearQuaternion,99,-3.85116
LinearQuaternion,100,-3.70862
LinearQuaternion,101,-3.56861
LinearQuaternion,102,-3.43113
LinearQuaternion,103,-3.2962
LinearQuaternion,104,-3.16381
LinearQuaternion,105,-3.03397
LinearQuaternion,106,-2.81653
LinearQuaternion,107,-2.59706
LinearQuaternion,108,-2.37558
LinearQuaternion,109,-2.1521
LinearQuaternion,110,-1.92664
LinearQuaternion,111,-1.69921
LinearQuaternion,112,-1.46983
LinearQuaternion,113,-1.23853
LinearQuaternion,114,-1.00531
LinearQuaternion,115,-0.77019
LinearQuaternion,116,-0.533194
LinearQuaternion,117,-0.294336
LinearQuaternion,118,-0.0536342
LinearQuaternion,119,0.188894
LinearQuaternion,120,0.43323
LinearQuaternion,121,0.679355
LinearQuaternion,122,0.927252
LinearQuaternion,123,1.1769
LinearQuaternion,124,1.42829
LinearQuaternion,125,1.68139
LinearQuaternion,126,1.93618
LinearQuaternion,127,1.93174
LinearQuaternion,128,1.92963
LinearQuaternion,129,1.92986
LinearQuaternion,130,1.93245
LinearQuaternion,131,1.93741
LinearQuaternion,132,1.94474
LinearQuaternion,133,1.95447
LinearQuaternion,134,1.96662
LinearQuaternion,135,1.9812
LinearQuaternion,136,1.99822
LinearQuaternion,137,2.01772
LinearQuaternion,138,2.03971
LinearQuaternion,139,2.06421
LinearQuaternion,140,2.09126
LinearQuaternion,141,2.12086
LinearQuaternion,142,2.15307
LinearQuaternion,143,2.18789
LinearQuaternion,144,2.22537
LinearQuaternion,145,2.26553
LinearQuaternion,146,2.30841
LinearQuaternion,147,2.35404
LinearQuaternion,148,2.2738
LinearQuaternion,149,2.19693
LinearQuaternion,150,2.12343
LinearQuaternion,151,2.05335
LinearQuaternion,152,1.9867
LinearQuaternion,153,1.92352
LinearQuaternion,154,1.86383
LinearQuaternion,155,1.80767
LinearQuaternion,156,1.75507
LinearQuaternion,157,1.70608
LinearQuaternion,158,1.66071
LinearQuaternion,159,1.61902
LinearQuaternion,160,1.58104
LinearQuaternion,161,1.54682
LinearQuaternion,162,1.51639
LinearQuaternion,163,1.48982
LinearQuaternion,164,1.46714
LinearQuaternion,165,1.4484
LinearQuaternion,166,1.43367
LinearQuaternion,167,1.42298
LinearQuaternion,168,1.41641
LinearQuaternion,169,1.60486
LinearQuaternion,170,1.78779
LinearQuaternion,171,1.96547
LinearQuaternion,172,2.13819
LinearQuaternion,173,2.30619
LinearQuaternion,174,2.4697
LinearQuaternion,175,2.62895
LinearQuaternion,176,2.78414
LinearQuaternion,177,2.93547
LinearQuaternion,178,3.08312
LinearQuaternion,179,3.22727
LinearQuaternion,180,3.36807
LinearQuaternion,181,3.5057
LinearQuaternion,182,3.64028
LinearQuaternion,183,3.77197
LinearQuaternion,184,3.90089
LinearQuaternion,185,4.02716
LinearQuaternion,186,4.15092
LinearQuaternion,187,4.27226
LinearQuaternion,188,4.39131
LinearQuaternion,189,4.50815
LinearQuaternion,190,4.52522
LinearQuaternion,191,4.54187
LinearQuaternion,192,4.5581
LinearQuaternion,193,4.57391
LinearQuaternion,194,4.58931
LinearQuaternion,195,4.6043
LinearQuaternion,196,4.61888
LinearQuaternion,197,4.63305
LinearQuaternion,198,4.64681
LinearQuaternion,199,4.66018
LinearQuaternion,200,4.67314
LinearQuaternion,201,4.6857
LinearQuaternion,202,4.69787
LinearQuaternion,203,4.70963
LinearQuaternion,204,4.72101
LinearQuaternion,205,4.73198
LinearQuaternion,206,4.74257
LinearQuaternion,207,4.75276
LinearQuaternion,208,4.76256
LinearQuaternion,209,4.77198
LinearQuaternion,210,4.781
LinearQuaternion,211,4.23929
LinearQuaternion,212,3.69992
LinearQuaternion,213,3.16276
LinearQuaternion,214,2.62767
LinearQuaternion,215,2.09451
LinearQuaternion,216,1.56313
LinearQuaternion,217,1.03341
LinearQuaternion,218,0.505191
LinearQuaternion,219,-0.0216597
LinearQuaternion,220,-0.547284
LinearQuaternion,221,-1.07182
LinearQuaternion,222,-1.59542
LinearQuaternion,223,-2.11823
LinearQuaternion,224,-2.64037
LinearQuaternion,225,-3.16201
LinearQuaternion,226,-3.68329
LinearQuaternion,227,-4.20436
LinearQuaternion,228,-4.72537
LinearQuaternion,229,-5.24646
LinearQuaternion,230,-5.7678
LinearQuaternion,231,-6.28953
LinearQuaternion,232,-6.03687
LinearQuaternion,233,-5.78597
LinearQuaternion,234,-5.53646
LinearQuaternion,235,-5.28797
LinearQuaternion,236,-5.04012
LinearQuaternion,237,-4.79254
LinearQuaternion,238,-4.54481
LinearQuaternion,239,-4.29653
LinearQuaternion,240,-4.04727
LinearQuaternion,241,-3.79656
LinearQuaternion,242,-3.54392
LinearQuaternion,243,-3.28882
LinearQuaternion,244,-3.03071
LinearQuaternion,245,-2.76897
LinearQuaternion,246,-2.50294
LinearQuaternion,247,-2.23187
LinearQuaternion,248,-1.95495
LinearQuaternion,249,-1.67128
LinearQuaternion,250,-1.37981
LinearQuaternion,251,-1.07939
LinearQuaternion,252,-0.768699
LinearQuaternion,253,-0.146275
LinearQuaternion,254,0.496309
LinearQuaternion,255,1.16098
LinearQuaternion,256,1.84988
LinearQuaternion,257,2.5654
LinearQuaternion,258,3.31019
LinearQuaternion,259,4.08724
LinearQuaternion,260,4.89991
LinearQuaternion,261,5.75198
LinearQuaternion,262,6.64773
LinearQuaternion,263,7.59201
LinearQuaternion,264,8.59037
LinearQuaternion,265,9.64914
LinearQuaternion,266,10.7756
LinearQuaternion,267,11.978
LinearQuaternion,268,13.2662
LinearQuaternion,269,14.6511
LinearQuaternion,270,16.1459
LinearQuaternion,271,17.7657
LinearQuaternion,272,19.528
LinearQuaternion,273,21.4534
LinearQuaternion,274,22.1452
LinearQuaternion,275,22.8493
LinearQuaternion,276,23.5662
LinearQuaternion,277,24.2964
LinearQuaternion,278,25.0403
LinearQuaternion,279,25.7985
LinearQuaternion,280,26.5714
LinearQuaternion,281,27.3598
LinearQuaternion,282,28.164
LinearQuaternion,283,28.9848
LinearQuaternion,284,29.8228
LinearQuaternion,285,30.6786
LinearQuaternion,286,31.5528
LinearQuaternion,287,32.4462
LinearQuaternion,288,33.3595
LinearQuaternion,289,34.2933
LinearQuaternion,290,35.2485
LinearQuaternion,291,36.2258
LinearQuaternion,292,37.226
LinearQuaternion,293,38.2499
LinearQuaternion,294,39.2983
LinearQuaternion,295,36.0897
LinearQuaternion,296,33.315
LinearQuaternion,297,30.8952
LinearQuaternion,298,28.7675
LinearQuaternion,299,26.8813
LinearQuaternion,300,25.1965
LinearQuaternion,301,23.6806
LinearQuaternion,302,22.3075
LinearQuaternion,303,21.0559
LinearQuaternion,304,19.9082
LinearQuaternion,305,18.85
LinearQuaternion,306,17.8693
LinearQuaternion,307,16.9561
LinearQuaternion,308,16.1019
LinearQuaternion,309,15.2995
LinearQuaternion,310,14.5428
LinearQuaternion,311,13.8264
LinearQuaternion,312,13.146
LinearQuaternion,313,12.4976
LinearQuaternion,314,11.8776
LinearQuaternion,315,11.2832
LinearQuaternion,316,11.0031
LinearQuaternion,317,10.728
LinearQuaternion,318,10.4576
LinearQuaternion,319,10.1915
LinearQuaternion,320,9.9293
LinearQuaternion,321,9.67075
LinearQuaternion,322,9.41554
LinearQuaternion,323,9.16341
LinearQuaternion,324,8.9141
LinearQuaternion,325,8.66737
LinearQuaternion,326,8.423
LinearQuaternion,327,8.18077
LinearQuaternion,328,7.94048
LinearQuaternion,329,7.70195
LinearQuaternion,330,7.46499
LinearQuaternion,331,7.22943
LinearQuaternion,332,6.99511
LinearQuaternion,333,6.76187
LinearQuaternion,334,6.52957
LinearQuaternion,335,6.29804
LinearQuaternion,336,6.06717
LinearQuaternion,337,5.51442
LinearQuaternion,338,4.97952
LinearQuaternion,339,4.46109
LinearQuaternion,340,3.95788
LinearQuaternion,341,3.4687
LinearQuaternion,342,2.99246
LinearQuaternion,343,2.52816
LinearQuaternion,344,2.07484
LinearQuaternion,345,1.63161
LinearQuaternion,346,1.19766
LinearQuaternion,347,0.772188
LinearQuaternion,348,0.354465
LinearQuaternion,349,-0.0562134
LinearQuaternion,350,-0.460516
LinearQuaternion,351,-0.859081
LinearQuaternion,352,-1.25252
LinearQuaternion,353,-1.64143
LinearQuaternion,354,-2.02637
LinearQuaternion,355,-2.40791
LinearQuaternion,356,-2.78659
LinearQuaternion,357,-3.16295
LinearQuaternion,358,-3.31877
LinearQuaternion,359,-3.47593
LinearQuaternion,360,-3.63449
LinearQuaternion,361,-3.79453
LinearQuaternion,362,-3.95613
LinearQuaternion,363,-4.11936
LinearQuaternion,364,-4.28432
LinearQuaternion,365,-4.45108
LinearQuaternion,366,-4.61973
LinearQuaternion,367,-4.79037
LinearQuaternion,368,-4.96307
LinearQuaternion,369,-5.13795
LinearQuaternion,370,-5.3151
LinearQuaternion,371,-5.49462
LinearQuaternion,372,-5.67661
LinearQuaternion,373,-5.8612
LinearQuaternion,374,-6.04848
LinearQuaternion,375,-6.23859
LinearQuaternion,376,-6.43164
LinearQuaternion,377,-6.62777
LinearQuaternion,378,-6.8271
LinearQuaternion,379,-6.77368
LinearQuaternion,380,-6.71796
LinearQuaternion,381,-6.6599
LinearQuaternion,382,-6.59945
LinearQuaternion,383,-6.53658
LinearQuaternion,384,-6.47123
LinearQuaternion,385,-6.40336
LinearQuaternion,386,-6.33293
LinearQuaternion,387,-6.25987
LinearQuaternion,388,-6.18413
LinearQuaternion,389,-6.10567
LinearQuaternion,390,-6.02441
LinearQuaternion,391,-5.94031
LinearQuaternion,392,-5.85329
LinearQuaternion,393,-5.76329
LinearQuaternion,394,-5.67023
LinearQuaternion,395,-5.57406
LinearQuaternion,396,-5.47469
LinearQuaternion,397,-5.37204
LinearQuaternion,398,-5.26603
LinearQuaternion,399,-5.15657
LinearQuaternion,400,-5.13905
LinearQuaternion,401,-5.12151
LinearQuaternion,402,-5.10396
LinearQuaternion,403,-5.08638
LinearQuaternion,404,-5.06878
LinearQuaternion,405,-5.05116
LinearQuaternion,406,-5.03353
LinearQuaternion,407,-5.01587
LinearQuaternion,408,-4.99819
LinearQuaternion,409,-4.98049
LinearQuaternion,410,-4.96278
LinearQuaternion,411,-4.94504
LinearQuaternion,412,-4.92729
LinearQuaternion,413,-4.90952
LinearQuaternion,414,-4.89172
LinearQuaternion,415,-4.87391
LinearQuaternion,416,-4.85608
LinearQuaternion,417,-4.83823
LinearQuaternion,418,-4.82036
LinearQuaternion,419,-4.80248
LinearQuaternion,420,-4.78457
LinearQuaternion,421,-5.32049
LinearQuaternion,422,-5.83508
LinearQuaternion,423,-6.33047
LinearQuaternion,424,-6.80858
LinearQuaternion,425,-7.27114
LinearQuaternion,426,-7.71973
LinearQuaternion,427,-8.15577
LinearQuaternion,428,-8.58059
LinearQuaternion,429,-8.99539
LinearQuaternion,430,-9.4013
LinearQuaternion,431,-9.79936
LinearQuaternion,432,-10.1905
LinearQuaternion,433,-10.5758
LinearQuaternion,434,-10.956
LinearQuaternion,435,-11.3319
LinearQuaternion,436,-11.7044
LinearQuaternion,437,-12.0743
LinearQuaternion,438,-12.4422
LinearQuaternion,439,-12.8091
LinearQuaternion,440,-13.1755
LinearQuaternion,441,-13.5423
LinearQuaternion,442,-13.5031
LinearQuaternion,443,-13.4661
LinearQuaternion,444,-13.4311
LinearQuaternion,445,-13.3981
LinearQuaternion,446,-13.3671
LinearQuaternion,447,-13.3381
LinearQuaternion,448,-13.3111
LinearQuaternion,449,-13.286
LinearQuaternion,450,-13.263
LinearQuaternion,451,-13.2419
LinearQuaternion,452,-13.2228
LinearQuaternion,453,-13.2059
LinearQuaternion,454,-13.1911
LinearQuaternion,455,-13.1786
LinearQuaternion,456,-13.1684
LinearQuaternion,457,-13.1606
LinearQuaternion,458,-13.1555
LinearQuaternion,459,-13.1531
LinearQuaternion,460,-13.1537
LinearQuaternion,461,-13.1575
LinearQuaternion,462,-13.1648
LinearQuaternion,463,-12.8206
LinearQuaternion,464,-12.4703
LinearQuaternion,465,-12.1129
LinearQuaternion,466,-11.7477
LinearQuaternion,467,-11.3738
LinearQuaternion,468,-10.9901
LinearQuaternion,469,-10.5954
LinearQuaternion,470,-10.1884
LinearQuaternion,471,-9.7677
LinearQuaternion,472,-9.33151
LinearQuaternion,473,-8.87793
LinearQuaternion,474,-8.40474
LinearQuaternion,475,-7.90937
LinearQuaternion,476,-7.38883
LinearQuaternion,477,-6.83962
LinearQuaternion,478,-6.25762
LinearQuaternion,479,-5.63792
LinearQuaternion,480,-4.97465
LinearQuaternion,481,-4.26075
LinearQuaternion,482,-3.48757
LinearQuaternion,483,-2.6445
LinearQuaternion,484,-2.73836
LinearQuaternion,485,-2.85995
LinearQuaternion,486,-3.01527
LinearQuaternion,487,-3.21226
LinearQuaternion,488,-3.4616
LinearQuaternion,489,-3.77802
LinearQuaternion,490,-4.18236
LinearQuaternion,491,-4.70517
LinearQuaternion,492,-5.393
LinearQuaternion,493,-6.32036
LinearQuaternion,494,-7.61425
LinearQuaternion,495,-9.50947
LinearQuaternion,496,-12.4906
LinearQuaternion,497,-17.7255
LinearQuaternion,498,-28.7355
LinearQuaternion,499,-58.7199
LinearQuaternion,500,-117.291
LinearQuaternion,501,-147.086
LinearQuaternion,502,-158.039
LinearQuaternion,503,-163.255
LinearQuaternion,504,-166.227
LinearQuaternion,505,-169.04
LinearQuaternion,506,-170.999
LinearQuaternion,507,-172.435
LinearQuaternion,508,-173.53
LinearQuaternion,509,-174.39
LinearQuaternion,510,-175.082
LinearQuaternion,511,-175.65
LinearQuaternion,512,-176.122
LinearQuaternion,513,-176.522
LinearQuaternion,514,-176.862
LinearQuaternion,515,-177.156
LinearQuaternion,516,-177.41
LinearQuaternion,517,-177.633
LinearQuaternion,518,-177.829
LinearQuaternion,519,-178.002
LinearQuaternion,520,-178.156
LinearQuaternion,521,-178.293
LinearQuaternion,522,-178.415
LinearQuaternion,523,-178.525
LinearQuaternion,524,-178.623
LinearQuaternion,525,-178.712
LinearQuaternion,526,-178.988
LinearQuaternion,527,-179.254
LinearQuaternion,528,-179.511
LinearQuaternion,529,-179.758
LinearQuaternion,530,-179.997
LinearQuaternion,531,179.773
LinearQuaternion,532,179.552
LinearQuaternion,533,179.337
LinearQuaternion,534,179.131
LinearQuaternion,535,178.931
LinearQuaternion,536,178.738
LinearQuaternion,537,178.552
LinearQuaternion,538,178.372
LinearQuaternion,539,178.198
LinearQuaternion,540,178.03
LinearQuaternion,541,177.867
LinearQuaternion,542,177.71
LinearQuaternion,543,177.558
LinearQuaternion,544,177.411
